Serial,Parentsmiles,BondIndex,Frag1smiles,Frag2smiles,BDH,BondType,Source
62781,Cc1[nH][nH]c(=O)c1N=O,6,Cc1[c]c(=O)[nH][nH]1,[N]=O,63.91247,C-N,ALFABET
1113252,Nc1ccc(Cl)c(SCc2ccoc2)c1,0,[NH2],Clc1cc[c]cc1SCc1ccoc1,105.52074,C-N,NEW
42661,NCCC(=O)CN,5,[CH2]C(=O)CCN,[NH2],80.80377,C-N,ALFABET
58975,COCCN(O)CCOC,3,COCC[N]O,[CH2]COC,70.11665,C-N,ALFABET
1102702,C#CCN(C)C(=O)C(N)CCOC,2,C#C[CH2],C[N]C(=O)C(N)CCOC,76.37041,C-N,NEW
1107565,CC1(C)C(N)CC1NC(=O)NC1CC1,7,O=[C]NC1CC1,CC1(C)C([NH])CC1N,93.79635,C-N,NEW
161498,NC(=O)c1ccc(=O)[nH]n1,0,[NH2],O=[C]c1ccc(=O)[nH]n1,104.29647,C-N,ALFABET
1119978,CCC(C)NCCNC(CC)(CC)CC,7,CC[C](CC)CC,CCC(C)NCC[NH],83.2316,C-N,NEW
1106083,CCOC(=O)[C@H]1C[C@@H](O)CN1CC,10,CCOC(=O)[C@H]1C[C@@H](O)C[N]1,[CH2]C,78.65141,C-N,NEW
244849,CN(CCN)C(C)(C)C,0,CC(C)(C)[N]CCN,[CH3],77.16233,C-N,ALFABET
80760,NC(=O)c1cncc(=O)[nH]1,0,[NH2],O=[C]c1cncc(=O)[nH]1,103.25794,C-N,ALFABET
66521,CC(=O)N(C)CO,4,C[N]C(C)=O,[CH2]O,93.07283,C-N,ALFABET
1097683,C=CCCNc1ccn(C)n1,4,C=CCC[NH],Cn1cc[c]n1,106.20535,C-N,NEW
285543,CCn1nccc1COC,1,COCC1=CC=N[N]1,[CH2]C,97.80865,C-N,ALFABET
23083,O=C(CCN1CC1)NCO,3,C1C[N]1,[CH2]CC(=O)NCO,79.84807,C-N,ALFABET
1094747,CN1C(=N)CC(N)C1=O,5,CN1C(=N)C[CH]C1=O,[NH2],81.48148,C-N,NEW
1115121,CCCN1Cc2ccc(Cl)cc2NC1C,2,[CH2]CC,CC1[N]Cc2ccc(Cl)cc2N1,81.05289,C-N,NEW
168242,C=CCn1nc(N)nc1N,8,C=CCn1[c]nc(N)n1,[NH2],114.96287,C-N,ALFABET
1099972,O=S(=O)(NC1CC(Cl)C1)C1CC1,3,ClC1C[CH]C1,[NH]S(=O)(=O)C1CC1,93.88546,C-N,NEW
1104859,C#CCNC(=O)CN(C)CC(=O)O,7,C#CCNC(=O)C[N]CC(=O)O,[CH3],82.66496,C-N,NEW
1103716,Cc1noc(CNC(=O)[C@@H](C)O)n1,6,C[C@@H](O)[C]=O,Cc1noc(C[NH])n1,102.99689,C-N,NEW
125318,CN(C=O)CC#N,0,N#CC[N]C=O,[CH3],97.86198,C-N,ALFABET
1104597,CCC1CCCC1n1nccc1N,11,[NH2],CCC1CCCC1n1[c]ccn1,110.12226,C-N,NEW
1101778,COCCNCC1NC=C(C)S1,4,[CH2]C1NC=C(C)S1,COCC[NH],86.13571,C-N,NEW
145904,CN1CC=CC[C@@H]1C#N,0,N#C[C@H]1CC=CC[N]1,[CH3],84.33476,C-N,ALFABET
253258,CN(C)C(=O)NN=C(N)N,2,C[N]C,NC(N)=NN[C]=O,91.69419,C-N,ALFABET
1101918,O=NC(=O)Cc1ccc(O)cc1,1,O=[C]Cc1ccc(O)cc1,[N]=O,28.47826,C-N,NEW
210566,CN(C)c1cnccc1N,2,C[N]C,Nc1[c]cncc1,99.30337,C-N,ALFABET
183129,NC/C=C/CNCCCN,8,[CH2]CCNC/C=C/CN,[NH2],85.63935,C-N,ALFABET
227330,CN1N=C(C#N)CC1=O,0,N#CC1=N[N]C(=O)C1,[CH3],92.99126,C-N,ALFABET
124187,NNc1ncnc(NN)n1,1,[NH]N,NNc1n[c]ncn1,95.0407,C-N,ALFABET
1096705,CONC(C(N)=O)C(C)C,4,CONC([C]=O)C(C)C,[NH2],101.50656,C-N,NEW
